id	idpaper	data	fam	sp	spcode	marker	lifeform	dispersal	dispcode 	anacron	pollinator	pollicode	distgeo	habitat	diverhaplot	divernucleot	genetdiff	AllelesLocus	Porcpoliloci 	AllelicRichness	FIS 	phi_FT	seedwt
a95	94	duminil	Brassicaceae	Raphanus sativus	NA	NA	Herb	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.0330	NA	NA	NA	NA	NA	10.750
a96	95	duminil	Polygonaceae	Rumex nivalis	NA	NA	Herb	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.2097	NA	NA	NA	NA	NA	1.000
a97	96	duminil	Santalaceae	Santalum spicatum	NA	NA	Shrub	birds	bi	b	NA	NA	NA	NA	NA	NA	0.0870	NA	NA	NA	NA	NA	234.000
a98	97	duminil	Saxifragaceae	Saxifraga oppositifolia	NA	NA	Herb	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.1520	NA	NA	NA	NA	NA	0.089
a99	98	duminil	Asteraceae	Senecio gallicus	NA	NA	Herb	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.1510	NA	NA	NA	NA	NA	0.446
a100	99	duminil	Asteraceae	Senecio glaucus	NA	NA	Herb	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.1200	NA	NA	NA	NA	NA	0.446
a101	100	duminil	Asteraceae	Senecio leucanthemifolius	NA	NA	Herb	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.3000	NA	NA	NA	NA	NA	0.446
a102	101	duminil	Asteraceae	Senecio vernalis	NA	NA	Herb	epizoochory	ep	b	NA	NA	NA	NA	NA	NA	0.0410	NA	NA	NA	NA	NA	0.446
a103	102	duminil	Caryophyllaceae	Silene alba	NA	NA	Herb	birds	bi	b	NA	NA	NA	NA	NA	NA	0.1280	NA	NA	NA	NA	NA	0.930
a104	103	duminil	Caryophyllaceae	Silene hifacensis	NA	NA	Herb	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.5813	NA	NA	NA	NA	NA	0.500
a105	104	duminil	Caryophyllaceae	Silene paradoxa	NA	NA	Herb	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.4000	NA	NA	NA	NA	NA	1.000
a106	105	duminil	Caryophyllaceae	Silene vulgaris	NA	NA	Herb	birds	bi	b	NA	NA	NA	NA	NA	NA	0.2200	NA	NA	NA	NA	NA	1.800
a107	106	duminil	Rosaceae	Sorbus aucuparia	NA	NA	Tree	birds	bi	b	NA	NA	NA	NA	NA	NA	0.0600	NA	NA	NA	NA	NA	34.000
a108	107	duminil	Rosaceae	Sorbus torminalis	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.1530	NA	NA	NA	NA	NA	5.500
a109	108	duminil	Bignoniaceae	Tabebuia heterophylla	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.3648	NA	NA	NA	NA	NA	48.414
a110	109	duminil	Saxifragaceae	Tellima grandiflora	NA	NA	Herb	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.2880	NA	NA	NA	NA	NA	0.036
a111	110	duminil	Lamiaceae	Thymus vulgaris	NA	NA	Shrub	autochory	au	ab	NA	NA	NA	NA	NA	NA	0.0380	NA	NA	NA	NA	NA	1.000
a112	111	duminil	Saxifragaceae	Tolmeia menziesii	NA	NA	Herb	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.3890	NA	NA	NA	NA	NA	NA
a113	112	duminil	Asteraceae	Tragopogon dubius	NA	NA	Herb	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.4840	NA	NA	NA	NA	NA	18.713
a114	113	duminil	Melanthiaceae	Trillium grandiflorum	NA	NA	Herb	mixed	mix	b	NA	NA	NA	NA	NA	NA	0.3500	NA	NA	NA	NA	NA	10.700
a115	114	duminil	Pinaceae	Tsuga canadensis	NA	NA	Tree	wind	wi	ab	NA	NA	NA	NA	NA	NA	0.1400	NA	NA	NA	NA	NA	2.700
a116	115	duminil	Vitaceae	Vitis vinifera	NA	NA	Creeper	birds	bi	b	NA	NA	NA	NA	NA	NA	0.1370	NA	NA	NA	NA	NA	36.300
a117	116	duminil	Fabaceae	Vouacapoua americana	NA	NA	Tree	mammals	ma	md	NA	NA	NA	NA	NA	NA	0.0800	NA	NA	NA	NA	NA	6260.000
a118	117	duminil	Caesalpinoideae	Copaifera langsdorffii	NA	NA	Tree	mammals	ma	b	NA	NA	NA	NA	NA	NA	0.0350	NA	NA	NA	NA	NA	NA
a119	118	duminil	Arecaceae	Euterpe edulis	NA	NA	Tree	birds	bi	b	NA	NA	NA	NA	NA	NA	0.4200	NA	NA	NA	NA	NA	NA
a120	119	duminil	Meliaceae	Trichilia pallida	NA	NA	Tree	birds	bi	b	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
a121	120	duminil	Papilionoideae	Dipteryx alata	NA	NA	Tree	mammals	ma	mi	NA	NA	NA	NA	NA	NA	0.1900	NA	NA	NA	NA	NA	NA
a122	121	duminil	Caryocaraceae	Caryocar brasiliensis	NA	NA	Tree	mammals	ma	md	NA	NA	NA	NA	NA	NA	0.2600	NA	NA	NA	NA	NA	NA
a123	122	duminil	Sterculiaceae	Theobroma grandiflorum	NA	NA	Tree	mammals	ma	md	NA	NA	NA	NA	NA	NA	0.3000	NA	NA	NA	NA	NA	NA
a124	123	duminil	Fabaceae	Hymenaea stigonocarpa	NA	NA	Tree	mammals	ma	md	NA	NA	NA	NA	NA	NA	0.6900	NA	NA	NA	NA	NA	NA
a125	124	duminil	Myrtaceae	Eugenia dysenterica	NA	NA	Tree	mammals	ma	mi	NA	NA	NA	NA	NA	NA	0.1500	NA	NA	NA	NA	NA	NA
