id	idpaper	fam	sp	spcode	marker	nloci	lifeform	dispersal	dispcode 	anacron	pollinator	pollicode	distgeo	habitat	npop	nind	meanIndiPop	diverhaplot	divernucleot	FST	AllelesLocus	Porcpoliloci 	AllelicRichness	Ho	He	FIS 	shannon_Hpop	Shanno_Hsp	mantel	coalesc_param	fp	fm	phi_FT	tm	ts	tm-ts	rp	rs	nb	Sp	Fij	distpollen	distgeneflow	Nep	Moranspatialfirstclass	bslope	rt
178	102	Fabaceae	Machaerium villosum	MAVILLO	isoz	10	Tree	wind	wi	n	large bees	lbe	wide	sdtf	3	95.0	31.7	NA	NA	0.060	2.400	93.330	NA	0.592	0.486	-0.194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
401	22	Fabaceae	Machaerium villosum	MAVILLO	isoz	6	Tree	wind	wi	n	large bees	lbe	wide	sdtf	2	150.0	75.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
202	49	Fabaceae	Plathymenia reticulata	PLRETI	RAPD	10	Tree	mammals	ma	n	small bees	sbe	wide	sdtf	6	117.0	19.5	NA	NA	0.120	NA	70.800	NA	NA	NA	NA	0.3320	0.3960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	37	Fabaceae	Plathymenia reticulata 	PLRETI	chlorop	2	Tree	mammals	ma	n	small bees	sbe	wide	sdtf	41	220.0	5.4	0.90000	0.00250	0.930	NA	NA	9.270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	326	Fabaceae	Platypodium elegans	PLELEG	ssrnuc	4	Tree	wind	wi	n	large bees	lbe	wide	sdtf	1	1951.0	1951.0	NA	NA	NA	13.310	NA	NA	0.769	0.802	0.041	NA	NA	NA	NA	NA	0.0137	NA	0.8400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
210	125	Fabaceae	Prosopis alba	PRALBA	isoz	9	Tree	mammals	ma	md	small bees	sbe	restric	mixed	4	246.9	61.7	0.29000	NA	0.340	1.700	46.700	NA	NA	0.190	NA	0.3000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
210	125	Fabaceae	Prosopis alba	PRALBA	RAPD	9	Tree	mammals	ma	md	small bees	sbe	restric	mixed	4	246.9	61.7	NA	NA	0.410	1.400	37.400	NA	NA	0.180	NA	0.2300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
211	125	Fabaceae	Prosopis flexuosa	PRFLEX	isoz	9	Tree	mammals	ma	md	small bees	sbe	restric	mixed	2	113.3	56.7	NA	NA	0.290	1.900	60.900	NA	NA	0.300	NA	0.5200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
211	125	Fabaceae	Prosopis flexuosa	PRFLEX	RAPD	9	Tree	mammals	ma	md	small bees	sbe	restric	mixed	2	113.3	56.7	NA	NA	0.410	1.500	48.200	NA	NA	0.220	NA	0.2900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
212	125	Fabaceae	Prosopis nigra	PRNIGR	isoz	9	Tree	mammals	ma	md	small bees	sbe	restric	mixed	3	113.7	37.9	NA	NA	0.290	1.900	63.000	NA	NA	0.260	NA	0.4600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
212	125	Fabaceae	Prosopis nigra	PRNIGR	RAPD	9	Tree	mammals	ma	md	small bees	sbe	restric	mixed	3	113.7	37.9	NA	NA	0.410	1.300	33.900	NA	NA	0.170	NA	0.2300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
213	125	Fabaceae	Prosopis ruscifolia	PRRUSC	isoz	9	Tree	mammals	ma	md	small bees	sbe	restric	mixed	3	232.7	77.6	NA	NA	0.290	1.800	61.950	NA	NA	0.240	NA	0.4200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
213	125	Fabaceae	Prosopis ruscifolia	PRRUSC	RAPD	9	Tree	mammals	ma	md	small bees	sbe	restric	mixed	3	232.7	77.6	NA	NA	0.410	1.450	45.500	NA	NA	0.210	NA	0.3000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
214	125	Fabaceae	Prosopis vinalillo	PRVINA	isoz	9	Tree	mammals	ma	md	small bees	sbe	restric	mixed	1	65.4	65.4	NA	NA	0.290	2.000	65.200	NA	NA	0.260	NA	0.4700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
214	125	Fabaceae	Prosopis vinalillo	PRVINA	RAPD	9	Tree	mammals	ma	md	small bees	sbe	restric	mixed	1	65.4	65.4	NA	NA	0.300	1.400	39.300	NA	NA	0.160	NA	0.2400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
294	36	Fabaceae	Pterocarpus officinalis	PTOFFI	AFLP	5	Tree	wind	wi	n	large bees	lbe	restric	wetlands	8	120.0	15.0	NA	NA	0.120	NA	68.000	NA	0.214	0.214	NA	NA	NA	0.5000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	18	Fabaceae	Samanea saman	SASAMA	isoz	6	Tree	mammals	ma	n	butterflies	but	wide	sdtf	1	1016.0	1016.0	NA	NA	NA	NA	NA	NA	NA	0.210	0.024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
105	71	Fabaceae	Schizolobium parahyba	SCPARA	nucl	4	Tree	wind	wi	n	large bees	lbe	wide	rainforest	20	198.0	9.9	0.69400	0.00826	0.980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
105	71	Fabaceae	Schizolobium parahyba	SCPARA	chlorop	4	Tree	wind	wi	n	large bees	lbe	wide	rainforest	20	198.0	9.9	0.90700	0.00239	0.850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
115	336	Fabaceae	Schizolobium parahyba	SCPARA	nucl	4	Tree	wind	wi	n	large bees	lbe	wide	rainforest	12	198.0	16.5	0.69400	0.00826	0.980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
115	336	Fabaceae	Schizolobium parahyba	SCPARA	chlorop	4	Tree	wind	wi	n	large bees	lbe	wide	rainforest	12	198.0	16.5	0.90700	0.00239	0.850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	77	Fabaceae	Senna multijuga	SEMULT	isoz	4	Tree	autochory	au	n	large bees	lbe	wide	sdtf	1	62.0	62.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0080	0.9700	0.0380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
226	257	Fabaceae	Stylosanthes humilis	STHUMI	AFLP	5	Herb	mammals	ma	n	large bees	lbe	wide	rainforest	26	52.0	2.0	NA	NA	0.150	NA	75.000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
227	257	Fabaceae	Stylosanthes viscosa	STVISC	AFLP	4	Herb	mammals	ma	n	large bees	lbe	wide	rainforest	19	59.0	3.1	NA	NA	0.080	NA	83.000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
338	195	Fabaceae	Tachigali versicolor	TAVERS	isoz	17	Tree	wind	wi	n	large bees	lbe	wide	rainforest	4	288.0	72.0	NA	NA	0.070	1.330	41.900	NA	0.063	0.073	0.187	NA	NA	NA	NA	NA	NA	NA	0.9980	1.0000	0.0130	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
112	109	Fabaceae	Vouacapoua americana	VOAMER	cRFLP	19	Tree	mammals	ma	n	small bees	sbe	wide	rainforest	29	544.0	18.8	NA	NA	NA	NA	NA	NA	NA	0.770	NA	NA	NA	0.0010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
112	109	Fabaceae	Vouacapoua americana	VOAMER	ssrnuc	19	Tree	mammals	ma	n	small bees	sbe	wide	rainforest	29	544.0	18.8	NA	NA	NA	4.100	NA	NA	0.467	0.506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
240	44	Fabaceae	Vouacapoua americana	VOAMER	ssrnuc	9	Tree	mammals	ma	n	small bees	sbe	wide	rainforest	17	402.0	23.6	NA	NA	0.080	NA	NA	4.100	0.467	0.506	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
241	11	Fabaceae	Vouacapoua americana	VOAMER	cRFLP	5	Tree	mammals	ma	n	small bees	sbe	wide	rainforest	14	100.0	7.1	NA	NA	0.890	NA	NA	NA	NA	0.870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
415	216	Fabaceae	Vouacapoua americana	VOAMER	ssrnuc	2	Tree	mammals	ma	n	small bees	sbe	wide	rainforest	2	151.0	75.5	NA	NA	NA	NA	NA	NA	NA	NA	0.111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79.0000	0.0116	0.0940	176.0	31.0	NA	NA	NA	NA
415	216	Fabaceae	Vouacapoua americana	VOAMER	RAPD	2	Tree	mammals	ma	n	small bees	sbe	wide	rainforest	2	151.0	75.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	198.0000	0.0275	0.0275	NA	134.0	NA	NA	NA	NA
